state,name,address
New Jersey,"Parsippany, NJ","70 Waterview Blvd, "
New Jersey,"Princeton, NJ","3303 Brunswick Pike, "
New Jersey,"Wayne, NJ","96 Willowbrook Blvd., Wayne, NJ 07470"
New York,"Astor Place, NYC","20 Third Avenue, New York, NY 10003, (646) 813-2189"
New York,"Battery Park City, NYC",215 Murray Street
New York,"Citi Field, NYC",12301 Roosevelt Ave
New York,"Cross County, NY",2090 Mall Walk
New York,"Downtown Brooklyn, NYC",409 Fulton Street
New York,"Dumbo, Brooklyn, NYC",1 Old Fulton Street
New York,"Empire Outlets, Staten Island, NY","Shake Shack – Empire Outlets, 35 Richmond Terrace, Space 323, Staten Island, NY 10301, (929) 473-9131"
New York,"Flatbush Avenue, Brooklyn, NYC",170 Flatbush Avenue
New York,"Forest Hills, NY",71-26 Austin Street
New York,"Fulton Transit Center, NYC",200 Broadway
New York,"Grand Central Terminal, NYC",49 Grand Central Terminal
New York,"Harlem, NY",1 West 125th Street
New York,"Hartsdale, NY","379 North Central Avenue Hartsdale, NY 10530, (914) 529-8801 – Main, (914) 529-8802 – Office"
New York,"Herald Square, NYC",1333 Broadway
New York,"Hudson Yards, NY",20 Hudson Yards
New York,"JFK Airport, NYC",John F. Kennedy International Airport
New York,"LaGuardia Airport, NYC","LaGuardia Airport, Terminal B near Gate 42, Queens, NY 11371"
New York,"Lake Grove, Long Island",2093 Smith Haven Plaza
New York,"Madison Square Park, NYC","Southeast corner of Madison Square Park, (near Madison Avenue & E.23rd Street)"
New York,"Melville, Long Island","849 Walt Whitman Road, Melville, New York 11747, 631-386-8017"
New York,"Midtown East, NYC",600 Third Avenue
New York,"Morningside Heights, NYC","2957 Broadway, New York, NY 10025, (646) 383-5506"
New York,"New Hyde Park, Long Island",1570 Union Turnpike
New York,"Penn Station, NYC",Penn Station
New York,"Queens Center, NY",90-15 Queens Blvd.
New York,"Saratoga Race Course, NY",267 Union Avenue
New York,"Staten Island Mall, NY","2655 Richmond Ave., Staten Island, NY 10314"
New York,"Theater District, NYC",691 8th Avenue
New York,"Upper East Side, NYC",154 East 86th Street
New York,"Upper West Side, NYC",366 Columbus Avenue
New York,"West Village, NY","225 Varick Street, New York, NY 10014, (646) 517-1541 – Main, (646) 517-1542 – Office"
New York,"Westbury, Long Island",The Gallery at Westbury Plaza
New York,"Williamsburg, NY","160 Berry Street, Brooklyn, New York 11249"
New York,"Woodbury Common, NY",199 Niagara Lane
New York,"1700 Broadway, New York, NY","Shake Shack – 1700 Broadway, 1700 Broadway, New York, NY 10019, 917-942-6038"
North Carolina,"Blakeney, Charlotte, NC","9824 Rea Road, Suite A, Charlotte, North Carolina 28277"
North Carolina,"Park Road, Charlotte, NC","1605 East Woodlawn Road, Charlotte, NC 28209"
North Carolina,"Waverly Place, Cary, NC","Shake Shack – Waverly, 310 Colonades Way,, Cary, NC 27518, (919) 230-9390, "
North Carolina,"CLT Airport, NC","5501 Josh Birmingham Pkwy,, Charlotte, NC 28208, DE Concourse across from Gate D1"
North Carolina,"South End, Charlotte, NC","1930 Camden Rd. Ste 235,, Charlotte, NC 28203"
Ohio,Cleveland Hopkins International Airport,"Cleveland Hopkins International Airport, Main Concourse between B and C Gates, 5300 Riverside Dr,, Cleveland, OH 44135"
Ohio,"Downtown Cleveland, OH","601 Euclid Avenue, Cleveland, OH 44114, 216-243-5023"
Ohio,"Easton Town Center, Columbus, OH","Shake Shack – Easton Town Center, 4005 The Strand West, Space 430,, Columbus, OH 43229, 614-407-7728"
Ohio,"Pinecrest, OH","311 Park Avenue, Suite 121, Orange Village, OH 44122"
Ohio,"Short North, Columbus, OH","740 N. High Street, "
Pennsylvania,"Center City, PA",2000 Sansom Street
Pennsylvania,"Citizens Bank Park, PA",Citizens Bank Park
Pennsylvania,"King of Prussia, PA",The Plaza at King of Prussia
Pennsylvania,"King of Prussia Mall, PA",350 Mall Blvd.
Pennsylvania,"Midtown Village, PA","105 South 12th Street, Unit 1-01, Philadelphia, PA 19107"
Pennsylvania,"University City, PA",3200 Chestnut Street
Pennsylvania,"Wells Fargo Center, PA",3601 S Broad St
Rhode Island,"Thayer Street, RI","249 Thayer Street, 1st Floor,, Providence, RI 02906"
Tennessee,"Green Hills, TN","Shake Shack – Green Hills, 4031 Hillsboro Pike, Suite 904 Nashville, Tennessee 37215"
Texas,"Addison, Dallas, TX","5290 Belt Line Road, Suite112A,"
Texas,"Brackenridge, San Antonio, TX","3003 Broadway Street, San Antonio, TX 78209, (210) 469-3732"
Texas,"Dallas Uptown, TX","Shake Shack – Dallas Uptown, 2500 N Pearl Street, Dallas, TX 75201"
Texas,DFW Airport,"Dallas Fort Worth Airport, Terminal C Near Gate C7, 2400 Aviation Dr, DFW Airport, TX 75261"
Texas,"Downtown Houston, TX","702 Main Street,"
Texas,"Houston Galleria, TX","5015 Westheimer Road, Space #A2411"
Texas,"Las Colinas, TX","7170 N. State Highway 161, Irving, TX 75039"
Texas,"Minute Maid Park, TX","Minute Maid Park, 501 Crawford St., Houston, TX 77002"
Texas,"Montrose, TX",1002 Westheimer Rd
Texas,"Old Town, Dallas, TX","Shake Shack – Old Town, 5500 Greenville Ave, Unit #505, Dallas, TX 75206, 469-501-5031"
Texas,"Park North, San Antonio","7427 San Pedro Avenue, Suite 107, San Antonio, TX 78216, (210) 277-4770"
Texas,"Plano, TX",7401 Windrose Avenue
Texas,"Preston Royal, Dallas","6025 Royal Lane, Suite 305, Dallas, TX 75230, 469-445-2240"
Texas,"Rice Village, Houston","6205 Kirby Drive,, Houston, TX 77005, 346-998-2820"
Texas,"Southlake, TX",125 Central Avenue
Texas,"South Lamar, Austin","1100 South Lamar Blvd, Suite 2100"
Texas,"Stockyards, TX","122 E. Exchange Ave, Suite 160, Fort Worth, TX 76164, 817-885-5420"
Texas,"The Domain, Austin",11228 Domain Drive
Utah,"The School Yard, Sandy, Utah","Shake Shack – The School Yard, 11020 S. State Street, Suite B,, Sandy, UT 84070, 385.276.3190"
Virginia,"Ballston, VA","4201 Wilson Blvd , suite 0180, Arlington VA 22203"
Virginia,"Pentagon City, VA",1100 South Hayes Street
Virginia,"Tysons Corner Center, VA",The Plaza at Tysons Corner Center
Virginia,"Virginia Beach, VA","296 Constitution Drive, Virginia Beach, VA 23462, 757-427-4480"
Washington,"Kirkland, WA","300 Peter Kirk Lane, "
Washington,"South Lake Union, WA","2115 Westlake Avenue Seattle,, Washington 98121"
Wisconsin,"Third Ward, WI","220 East Buffalo Street, Suite 110, Milwaukee, WI 53202, 414.509.1080"
Washington DC,"Dupont Circle, Washington, D.C.",1216 18th Street NW
Washington DC,"F Street, Washington, D.C.",800 F Street NW
Washington DC,"Logan Circle, Washington, D.C.",1400 14th Street NW
Washington DC,"Nationals Park, Washington, D.C.","1500 South Capitol Street, SE"
Washington DC,"Navy Yard, Washington, D.C.",54 M Street SE
Washington DC,"The Wharf, Washington, D.C.","975 Wharf Street SW, Washington, D.C. 20024, 202-869-8345"
Washington DC,"Union Station, Washington, D.C.",50 Massachusetts Avenue NE
